CIG,fonte,motivo
B23006D23B,sentenza_TAR,
B23006E30E,sentenza_TAR,
B2360065FC,sentenza_TAR,
B236FAAE2E,sentenza_TAR,
B23ACDDEFF,sentenza_TAR,
B23B5B0731,sentenza_TAR,
B245DF5376,sentenza_TAR,
B24843326D,sentenza_TAR,
B24C2E5F4A,sentenza_TAR,
B24D10CD16,sentenza_TAR,
B24DA5677B,sentenza_TAR,
B250A180B4,sentenza_TAR,
B2587AD2E5,sentenza_TAR,
B25A0604CC,sentenza_TAR,
B25CD963F7,sentenza_TAR,
B2618ACA74,sentenza_TAR,
B2638BBF14,sentenza_TAR,
B265B3528A,sentenza_TAR,
B269276B5A,sentenza_TAR,
B26A109248,sentenza_TAR,
B2838EDC61,sentenza_TAR,
B28A7763D0,sentenza_TAR,
B28AED04E3,sentenza_TAR,
B28E8E6400,sentenza_TAR,
B28F59D21D,sentenza_TAR,
B29514BA29,sentenza_TAR,
B296CC8947,sentenza_TAR,
B29DD78767,sentenza_TAR,
B29E79D684,sentenza_TAR,
B29F3C5E9C,sentenza_TAR,
B29FAAC0CD,sentenza_TAR,
B29FAAD1A0,sentenza_TAR,
B29FBCDF46,sentenza_TAR,
B2A093F7B6,sentenza_TAR,
B2A167D53B,sentenza_TAR,
B2A3B45F8C,sentenza_TAR,
B2A5B97B79,sentenza_TAR,
B2AA0A8A4C,sentenza_TAR,
B2AAFCB80D,sentenza_TAR,
B2AE49BD1A,sentenza_TAR,
B2B09167E5,sentenza_TAR,
B2B1782E9F,sentenza_TAR,
B2B4773E9F,sentenza_TAR,
B2BD06C72F,sentenza_TAR,
B2C0D7CB1D,sentenza_TAR,
B2C138DCB0,sentenza_TAR,
B2C514C10D,sentenza_TAR,
B2C950B8F0,sentenza_TAR,
B2CA871B02,sentenza_TAR,
B2CB64FC8F,sentenza_TAR,
B2CC47CF4D,sentenza_TAR,
B2CDD2DF8E,sentenza_TAR,
B2D0A63EB9,sentenza_TAR,
B2D18D7C10,sentenza_TAR,
B2D4A11B90,sentenza_TAR,
B2D601AAAA,sentenza_TAR,
B2D875E1D9,sentenza_TAR,
B2E06622E6,sentenza_TAR,
B2E96E75C9,sentenza_TAR,
B2F06624EA,sentenza_TAR,
B2F124B906,sentenza_TAR,
B2F26DF452,sentenza_TAR,
B2F3FB4249,sentenza_TAR,
B2F55383A1,sentenza_TAR,
B2F6E64961,sentenza_TAR,
B305098494,sentenza_TAR,
B30957CE41,sentenza_TAR,
B30B2A3CEB,sentenza_TAR,
B30EF10A58,sentenza_TAR,
B31E94548F,sentenza_TAR,
B325412710,sentenza_TAR,
B32A7211DA,sentenza_TAR,
B332FA4905,sentenza_TAR,
B334174C0C,sentenza_TAR,
B338BF5797,sentenza_TAR,
B3434068F1,sentenza_TAR,
B350C0F015,sentenza_TAR,
B354FFCDEC,sentenza_TAR,
B35CAC2EC7,sentenza_TAR,
B368953173,sentenza_TAR,
B36B1FD00E,sentenza_TAR,
B36BD8A83D,sentenza_TAR,
B36F967ED2,sentenza_TAR,
B373A542EB,sentenza_TAR,
B373EB5000,sentenza_TAR,
B3999800C4,sentenza_TAR,
B3B73808FE,sentenza_TAR,
B3B73819D1,sentenza_TAR,
B3E5887CDB,sentenza_TAR,
B3F15BE1FF,sentenza_TAR,
B3F1AF92F9,sentenza_TAR,
B3F5BA623E,sentenza_TAR,
B3F7A5A883,sentenza_TAR,
B3FBD278B4,sentenza_TAR,
B3FE990EB1,sentenza_TAR,
B40094DFA7,sentenza_TAR,
B40366995F,sentenza_TAR,
B4037A7FC9,sentenza_TAR,
B4037D44EF,sentenza_TAR,
B4084CB85C,sentenza_TAR,
B41A91B1B0,sentenza_TAR,
B41F56672C,sentenza_TAR,
B421ADE2BF,sentenza_TAR,
B4276A4E98,sentenza_TAR,
B4282A45B3,sentenza_TAR,
B42A048B82,sentenza_TAR,
B42ABA3A71,sentenza_TAR,
B43E3ECF23,sentenza_TAR,
B4451002C4,sentenza_TAR,
B450466E16,sentenza_TAR,
B4527EBDDE,sentenza_TAR,
B45553A1AE,sentenza_TAR,
B4559B75DC,sentenza_TAR,
B4559B86AF,sentenza_TAR,
B4559BA855,sentenza_TAR,
B4559BC9FB,sentenza_TAR,
B4559C2EED,sentenza_TAR,
B4559C623E,sentenza_TAR,
B4559C83E4,sentenza_TAR,
B4559CA58A,sentenza_TAR,
B46784A2ED,sentenza_TAR,
B468925BC4,sentenza_TAR,
B4693E2851,sentenza_TAR,
B46E89D44D,sentenza_TAR,
B46F9A524A,sentenza_TAR,
B47106AC85,sentenza_TAR,
B4711D14C9,sentenza_TAR,
B47271C717,sentenza_TAR,
B47CE95B01,sentenza_TAR,
B47E11E6B5,sentenza_TAR,
B47E60A67E,sentenza_TAR,
B485537541,sentenza_TAR,
B4897338F8,sentenza_TAR,
B492791BAC,sentenza_TAR,
B4932A3E5C,sentenza_TAR,
B49D311269,sentenza_TAR,
B49E78EAB6,sentenza_TAR,
B4A12FC196,sentenza_TAR,
B4AB1D5766,sentenza_TAR,
B4BD01E765,sentenza_TAR,
B4BE1340F1,sentenza_TAR,
B4BEC03C54,sentenza_TAR,
B4C2E8704B,sentenza_TAR,
B4C44D1507,sentenza_TAR,
B4CB62065C,sentenza_TAR,
B4D25615A0,sentenza_TAR,
B4D348EB9F,sentenza_TAR,
B4D5B1FF13,sentenza_TAR,
B4D7792934,sentenza_TAR,
B4D97F20B0,sentenza_TAR,
B4DC634D00,sentenza_TAR,
B4DFF61BD6,sentenza_TAR,
B4EDB92105,sentenza_TAR,
B4FBF5664C,sentenza_TAR,
B4FCFC4533,sentenza_TAR,
B4FD2F89E1,sentenza_TAR,
B4FF64D20F,sentenza_TAR,
B4FF64E2E2,sentenza_TAR,
B501FAB533,sentenza_TAR,
B50360EE8F,sentenza_TAR,
B50E0B9586,sentenza_TAR,
B50FB5AF14,sentenza_TAR,
B51B31E507,sentenza_TAR,
B51B3206AD,sentenza_TAR,
B51DA38989,sentenza_TAR,
B51E011CE5,sentenza_TAR,
B533D577AB,sentenza_TAR,
B540A5D87C,sentenza_TAR,
B543E3F923,sentenza_TAR,
00836917FD,fine_contratto_ANAC,REATI ACCERTATI
0103366451,fine_contratto_ANAC,REATI ACCERTATI
01129243D4,fine_contratto_ANAC,REATI ACCERTATI
0150283174,fine_contratto_ANAC,REATI ACCERTATI
015080610C,fine_contratto_ANAC,REATI ACCERTATI
0179755284,fine_contratto_ANAC,REATI ACCERTATI
01953507E9,fine_contratto_ANAC,REATI ACCERTATI
0208932024,fine_contratto_ANAC,REATI ACCERTATI
0222596C04,fine_contratto_ANAC,REATI ACCERTATI
0224089C14,fine_contratto_ANAC,REATI ACCERTATI
02320169A6,fine_contratto_ANAC,REATI ACCERTATI
0234059F94,fine_contratto_ANAC,REATI ACCERTATI
0249395F3F,fine_contratto_ANAC,REATI ACCERTATI
0255288E4E,fine_contratto_ANAC,REATI ACCERTATI
0263663D93,fine_contratto_ANAC,REATI ACCERTATI
0265602DB0,fine_contratto_ANAC,REATI ACCERTATI
0290317928,fine_contratto_ANAC,REATI ACCERTATI
031609737E,fine_contratto_ANAC,REATI ACCERTATI
031772207D,fine_contratto_ANAC,REATI ACCERTATI
0348543AC5,fine_contratto_ANAC,REATI ACCERTATI
0352407F70,fine_contratto_ANAC,REATI ACCERTATI
03627040CF,fine_contratto_ANAC,REATI ACCERTATI
036830708D,fine_contratto_ANAC,REATI ACCERTATI
037325756A,fine_contratto_ANAC,REATI ACCERTATI
03738384DF,fine_contratto_ANAC,REATI ACCERTATI
03770439B7,fine_contratto_ANAC,REATI ACCERTATI
0378878403,fine_contratto_ANAC,REATI ACCERTATI
03895109CF,fine_contratto_ANAC,REATI ACCERTATI
0411042296,fine_contratto_ANAC,REATI ACCERTATI
041232013A,fine_contratto_ANAC,REATI ACCERTATI
043576764C,fine_contratto_ANAC,REATI ACCERTATI
0437027615,fine_contratto_ANAC,REATI ACCERTATI
0449104457,fine_contratto_ANAC,REATI ACCERTATI
046009740D,fine_contratto_ANAC,REATI ACCERTATI
0465006715,fine_contratto_ANAC,REATI ACCERTATI
0467122942,fine_contratto_ANAC,REATI ACCERTATI
0489523F24,fine_contratto_ANAC,REATI ACCERTATI
0489747800,fine_contratto_ANAC,REATI ACCERTATI
0499399516,fine_contratto_ANAC,REATI ACCERTATI
05015861DC,fine_contratto_ANAC,REATI ACCERTATI
05225516B8,fine_contratto_ANAC,REATI ACCERTATI
052601949B,fine_contratto_ANAC,REATI ACCERTATI
05325187BF,fine_contratto_ANAC,REATI ACCERTATI
05720327BB,fine_contratto_ANAC,REATI ACCERTATI
0588815182,fine_contratto_ANAC,REATI ACCERTATI
0589149521,fine_contratto_ANAC,REATI ACCERTATI
1446365A25,fine_contratto_ANAC,REATI ACCERTATI
21795258EB,fine_contratto_ANAC,REATI ACCERTATI
2499555A07,fine_contratto_ANAC,REATI ACCERTATI
25635715B5,fine_contratto_ANAC,REATI ACCERTATI
28077157B5,fine_contratto_ANAC,REATI ACCERTATI
2847116A70,fine_contratto_ANAC,REATI ACCERTATI
3068017FB4,fine_contratto_ANAC,REATI ACCERTATI
30827784E1,fine_contratto_ANAC,REATI ACCERTATI
335949789E,fine_contratto_ANAC,REATI ACCERTATI
3366620EB2,fine_contratto_ANAC,REATI ACCERTATI
3431492CC4,fine_contratto_ANAC,REATI ACCERTATI
4220926253,fine_contratto_ANAC,REATI ACCERTATI
432696005A,fine_contratto_ANAC,REATI ACCERTATI
4335544C14,fine_contratto_ANAC,REATI ACCERTATI
439674331A,fine_contratto_ANAC,REATI ACCERTATI
4490647721,fine_contratto_ANAC,REATI ACCERTATI
453211646F,fine_contratto_ANAC,REATI ACCERTATI
4535893151,fine_contratto_ANAC,REATI ACCERTATI
4578828864,fine_contratto_ANAC,REATI ACCERTATI
46006944CA,fine_contratto_ANAC,REATI ACCERTATI
4619016495,fine_contratto_ANAC,REATI ACCERTATI
462682726D,fine_contratto_ANAC,REATI ACCERTATI
4629466432,fine_contratto_ANAC,REATI ACCERTATI
4647733699,fine_contratto_ANAC,REATI ACCERTATI
46823193DF,fine_contratto_ANAC,REATI ACCERTATI
4780696324,fine_contratto_ANAC,REATI ACCERTATI
4790480D24,fine_contratto_ANAC,REATI ACCERTATI
48091468D1,fine_contratto_ANAC,REATI ACCERTATI
4856892212,fine_contratto_ANAC,REATI ACCERTATI
49194889EA,fine_contratto_ANAC,REATI ACCERTATI
51799695A4,fine_contratto_ANAC,REATI ACCERTATI
5199509290,fine_contratto_ANAC,REATI ACCERTATI
5211641E31,fine_contratto_ANAC,REATI ACCERTATI
53017538F9,fine_contratto_ANAC,REATI ACCERTATI
5303067553,fine_contratto_ANAC,REATI ACCERTATI
531838889C,fine_contratto_ANAC,REATI ACCERTATI
5338366EF8,fine_contratto_ANAC,REATI ACCERTATI
5340573C3F,fine_contratto_ANAC,REATI ACCERTATI
53450380E5,fine_contratto_ANAC,REATI ACCERTATI
540694502B,fine_contratto_ANAC,REATI ACCERTATI
5517065A0E,fine_contratto_ANAC,REATI ACCERTATI
56426649A1,fine_contratto_ANAC,REATI ACCERTATI
5708087E64,fine_contratto_ANAC,REATI ACCERTATI
572979693B,fine_contratto_ANAC,REATI ACCERTATI
58023380CB,fine_contratto_ANAC,REATI ACCERTATI
58298131E1,fine_contratto_ANAC,REATI ACCERTATI
58534725E6,fine_contratto_ANAC,REATI ACCERTATI
5888607837,fine_contratto_ANAC,REATI ACCERTATI
5890302EF7,fine_contratto_ANAC,REATI ACCERTATI
5896236FDB,fine_contratto_ANAC,REATI ACCERTATI
59030506F5,fine_contratto_ANAC,REATI ACCERTATI
5906022B86,fine_contratto_ANAC,REATI ACCERTATI
5906025DFF,fine_contratto_ANAC,REATI ACCERTATI
59060312F6,fine_contratto_ANAC,REATI ACCERTATI
59126053FF,fine_contratto_ANAC,REATI ACCERTATI
5953177D0F,fine_contratto_ANAC,REATI ACCERTATI
5973721683,fine_contratto_ANAC,REATI ACCERTATI
5995905953,fine_contratto_ANAC,REATI ACCERTATI
6038136B72,fine_contratto_ANAC,REATI ACCERTATI
606503620A,fine_contratto_ANAC,REATI ACCERTATI
60654106AB,fine_contratto_ANAC,REATI ACCERTATI
6086786EB1,fine_contratto_ANAC,REATI ACCERTATI
6141795192,fine_contratto_ANAC,REATI ACCERTATI
61907364F5,fine_contratto_ANAC,REATI ACCERTATI
6204467822,fine_contratto_ANAC,REATI ACCERTATI
62510387BD,fine_contratto_ANAC,REATI ACCERTATI
6259480E4A,fine_contratto_ANAC,REATI ACCERTATI
62705036C4,fine_contratto_ANAC,REATI ACCERTATI
6333758E6F,fine_contratto_ANAC,REATI ACCERTATI
6346557085,fine_contratto_ANAC,REATI ACCERTATI
635426160E,fine_contratto_ANAC,REATI ACCERTATI
6397432FE1,fine_contratto_ANAC,REATI ACCERTATI
6430130722,fine_contratto_ANAC,REATI ACCERTATI
6469901B32,fine_contratto_ANAC,REATI ACCERTATI
647916259F,fine_contratto_ANAC,REATI ACCERTATI
6484947B8C,fine_contratto_ANAC,REATI ACCERTATI
6489668373,fine_contratto_ANAC,REATI ACCERTATI
64897517F0,fine_contratto_ANAC,REATI ACCERTATI
6520962413,fine_contratto_ANAC,REATI ACCERTATI
6544987621,fine_contratto_ANAC,REATI ACCERTATI
66121273D0,fine_contratto_ANAC,REATI ACCERTATI
66331833C6,fine_contratto_ANAC,REATI ACCERTATI
666601164B,fine_contratto_ANAC,REATI ACCERTATI
67367237AE,fine_contratto_ANAC,REATI ACCERTATI
673674275C,fine_contratto_ANAC,REATI ACCERTATI
6747352B01,fine_contratto_ANAC,REATI ACCERTATI
6759635344,fine_contratto_ANAC,REATI ACCERTATI
6769360C94,fine_contratto_ANAC,REATI ACCERTATI
6770336203,fine_contratto_ANAC,REATI ACCERTATI
6771044A43,fine_contratto_ANAC,REATI ACCERTATI
68025612EC,fine_contratto_ANAC,REATI ACCERTATI
68238589C1,fine_contratto_ANAC,REATI ACCERTATI
68367329B7,fine_contratto_ANAC,REATI ACCERTATI
6862080F8A,fine_contratto_ANAC,REATI ACCERTATI
68832551B8,fine_contratto_ANAC,REATI ACCERTATI
6901011E6B,fine_contratto_ANAC,REATI ACCERTATI
69078634E1,fine_contratto_ANAC,REATI ACCERTATI
6921330E30,fine_contratto_ANAC,REATI ACCERTATI
6939606807,fine_contratto_ANAC,REATI ACCERTATI
6968461BEC,fine_contratto_ANAC,REATI ACCERTATI
70270400DB,fine_contratto_ANAC,REATI ACCERTATI
70781978F0,fine_contratto_ANAC,REATI ACCERTATI
7092655410,fine_contratto_ANAC,REATI ACCERTATI
7094583B17,fine_contratto_ANAC,REATI ACCERTATI
7094595500,fine_contratto_ANAC,REATI ACCERTATI
7137222DE7,fine_contratto_ANAC,REATI ACCERTATI
7201961E37,fine_contratto_ANAC,REATI ACCERTATI
72224423AF,fine_contratto_ANAC,REATI ACCERTATI
