id_categoria,descrizione,macro_gruppo,note
OS 7,FINITURE OPERE GENERALI DI NATURA EDILE E TECNICA,LAVORI_SPECIALIZZATI,
OS 8,OPERE DI IMPERMEABILIZZAZIONE,LAVORI_SPECIALIZZATI,
OS 9,IMPIANTI SEGNALETICA LUMINOSA E SICUREZZA TRAFFICO,LAVORI_IMPIANTI,
OS 10,SEGNALETICA STRADALE NON LUMINOSA,LAVORI_SPECIALIZZATI,
OS 11,APPARECCHIATURE STRUTTURALI SPECIALI,LAVORI_SPECIALIZZATI,
OS 12-A,BARRIERE STRADALI DI SICUREZZA,LAVORI_SPECIALIZZATI,
OS 12-B,BARRIERE PARAMASSI FERMANEVE E SIMILI,LAVORI_SPECIALIZZATI,
OS 13,STRUTTURE PREFABBRICATE IN CEMENTO ARMATO,LAVORI_SPECIALIZZATI,
OS 14,IMPIANTI DI SMALTIMENTO E RECUPERO RIFIUTI,LAVORI_IMPIANTI,
OS 15,PULIZIA DI ACQUE MARINE LACUSTRI FLUVIALI,LAVORI_SPECIALIZZATI,
OS 16,IMPIANTI PER CENTRALI PRODUZIONE ENERGIA ELETTRICA,LAVORI_IMPIANTI,
OS 17,LINEE TELEFONICHE E IMPIANTI DI TELEFONIA,LAVORI_IMPIANTI,
OS 18-A,COMPONENTI STRUTTURALI IN ACCIAIO,LAVORI_SPECIALIZZATI,
OS 18-B,COMPONENTI PER FACCIATE CONTINUE,LAVORI_SPECIALIZZATI,
OS 19,IMPIANTI RETI TELECOMUNICAZIONE E TRASMISSIONE DATI,LAVORI_IMPIANTI,
OS 20-A,RILEVAMENTI TOPOGRAFICI,LAVORI_SPECIALIZZATI,
OS 20-B,INDAGINI GEOGNOSTICHE,LAVORI_SPECIALIZZATI,
OS 21,OPERE STRUTTURALI SPECIALI,LAVORI_SPECIALIZZATI,
OS 22,IMPIANTI DI POTABILIZZAZIONE E DEPURAZIONE,LAVORI_IMPIANTI,
OS 23,DEMOLIZIONE DI OPERE,LAVORI_SPECIALIZZATI,
OS 24,VERDE E ARREDO URBANO,LAVORI_SPECIALIZZATI,
OS 25,SCAVI ARCHEOLOGICI,LAVORI_SPECIALIZZATI,
OS 26,PAVIMENTAZIONI E SOVRASTRUTTURE SPECIALI,LAVORI_SPECIALIZZATI,
OS 27,IMPIANTI PER LA TRAZIONE ELETTRICA,LAVORI_IMPIANTI,
OS 28,IMPIANTI TERMICI E DI CONDIZIONAMENTO,LAVORI_IMPIANTI,
OS 29,ARMAMENTO FERROVIARIO,LAVORI_INFRASTRUTTURE,
OS 30,IMPIANTI INTERNI ELETTRICI TELEFONICI RADIOTELEFONICI TELEVISIVI,LAVORI_IMPIANTI,
OS 31,IMPIANTI PER LA MOBILITA' SOSPESA,LAVORI_IMPIANTI,
OS 32,STRUTTURE IN LEGNO,LAVORI_SPECIALIZZATI,
OS 33,COPERTURE SPECIALI,LAVORI_SPECIALIZZATI,
OS 34,SISTEMI ANTIRUMORE PER INFRASTRUTTURE DI MOBILITA',LAVORI_SPECIALIZZATI,
OS 35,INTERVENTI A BASSO IMPATTO AMBIENTALE,LAVORI_SPECIALIZZATI,
OS 12,BARRIERE STRADALI/PARAMASSI (variante senza suffisso A/B - dato storico),LAVORI_SPECIALIZZATI,Variante legacy pre-split A/B
OS 18,COMPONENTI STRUTTURALI/FACCIATE (variante senza suffisso A/B - dato storico),LAVORI_SPECIALIZZATI,Variante legacy pre-split A/B
OS 2,SUPERFICI DECORATE/BENI CULTURALI (variante senza suffisso A/B - dato storico),LAVORI_SPECIALIZZATI,Variante legacy pre-split A/B
OS 20,RILEVAMENTI/INDAGINI (variante senza suffisso A/B - dato storico),LAVORI_SPECIALIZZATI,Variante legacy pre-split A/B
